2021-03-26_19-47-12_EXACT_IFTY0_wrn-28-10-drop_HRZ0_RND1_NAS0_Eps1
158: acc=57.35% acc_corr=59.76% avg#q_ae=60.01 med#q=159.0, avg_margin=3.58, buff=19194, (n_ex=9597, eps=1.000, 906.62s)
159: acc=57.19% acc_corr=59.59% avg#q_ae=60.43 med#q=160.0, avg_margin=3.57, buff=19194, (n_ex=9597, eps=1.000, 911.25s)
160: acc=57.03% acc_corr=59.42% avg#q_ae=60.84 med#q=161.0, avg_margin=3.55, buff=19194, (n_ex=9597, eps=1.000, 915.80s)
161: acc=56.89% acc_corr=59.28% avg#q_ae=61.21 med#q=162.0, avg_margin=3.54, buff=19194, (n_ex=9597, eps=1.000, 920.43s)
162: acc=56.77% acc_corr=59.15% avg#q_ae=61.52 med#q=163.0, avg_margin=3.53, buff=19194, (n_ex=9597, eps=1.000, 924.92s)
163: acc=56.67% acc_corr=59.05% avg#q_ae=61.79 med#q=164.0, avg_margin=3.52, buff=19194, (n_ex=9597, eps=1.000, 929.42s)
164: acc=56.53% acc_corr=58.90% avg#q_ae=62.16 med#q=165.0, avg_margin=3.51, buff=19194, (n_ex=9597, eps=1.000, 933.93s)
165: acc=56.46% acc_corr=58.83% avg#q_ae=62.34 med#q=166.0, avg_margin=3.50, buff=19194, (n_ex=9597, eps=1.000, 938.45s)
166: acc=56.31% acc_corr=58.67% avg#q_ae=62.74 med#q=167.0, avg_margin=3.49, buff=19194, (n_ex=9597, eps=1.000, 942.97s)
167: acc=56.23% acc_corr=58.59% avg#q_ae=62.96 med#q=168.0, avg_margin=3.47, buff=19194, (n_ex=9597, eps=1.000, 947.44s)
168: acc=56.19% acc_corr=58.55% avg#q_ae=63.06 med#q=169.0, avg_margin=3.47, buff=19194, (n_ex=9597, eps=1.000, 951.92s)
169: acc=55.99% acc_corr=58.34% avg#q_ae=63.60 med#q=170.0, avg_margin=3.45, buff=19194, (n_ex=9597, eps=1.000, 956.47s)
170: acc=55.88% acc_corr=58.23% avg#q_ae=63.90 med#q=171.0, avg_margin=3.44, buff=19194, (n_ex=9597, eps=1.000, 960.99s)
171: acc=55.77% acc_corr=58.11% avg#q_ae=64.20 med#q=172.0, avg_margin=3.43, buff=19194, (n_ex=9597, eps=1.000, 965.44s)
172: acc=55.71% acc_corr=58.05% avg#q_ae=64.36 med#q=173.0, avg_margin=3.42, buff=19194, (n_ex=9597, eps=1.000, 969.93s)
173: acc=55.55% acc_corr=57.88% avg#q_ae=64.80 med#q=174.0, avg_margin=3.42, buff=19194, (n_ex=9597, eps=1.000, 974.34s)
174: acc=55.47% acc_corr=57.80% avg#q_ae=65.02 med#q=175.0, avg_margin=3.41, buff=19194, (n_ex=9597, eps=1.000, 978.74s)
