2021-05-08_02-19-18_MIDA_IFTY0_easydlmnist_HRZ0_RND1__Eps3
165: acc=1.20% acc_corr=1.22% avg#q_ae=29.36 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37506.18s
166: acc=1.17% acc_corr=1.19% avg#q_ae=29.40 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37521.81s
167: acc=1.17% acc_corr=1.19% avg#q_ae=29.40 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37537.89s
168: acc=1.09% acc_corr=1.11% avg#q_ae=29.52 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37552.13s
169: acc=1.04% acc_corr=1.06% avg#q_ae=29.59 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37564.76s
170: acc=1.02% acc_corr=1.04% avg#q_ae=29.62 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37577.14s
171: acc=1.02% acc_corr=1.04% avg#q_ae=29.62 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37591.74s
172: acc=1.00% acc_corr=1.02% avg#q_ae=29.65 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37604.22s
173: acc=0.98% acc_corr=1.00% avg#q_ae=29.68 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37616.34s
174: acc=0.96% acc_corr=0.98% avg#q_ae=29.71 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37630.43s
175: acc=0.95% acc_corr=0.97% avg#q_ae=29.73 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37642.33s
